Date,MUFG_ADR_Nikkei_CO,MUFG_ADR_Nikkei_HL,Nikkei_HL,Nikkei_CO,NQP_CO,NQP_HL,MUFG_ADR_ADR_Open,target
2005-09-29,-0.00684931506849315,0.04964539007092199,0.013119645103394887,0.007510490478692654,-0.0009498189606813256,0.0009507219744389841,12.74,1
2005-09-30,0.02054794520547945,0.07746478873239436,0.010287945327248367,-0.007541638867579798,-0.0010181507365879952,0.0013904705578868678,13.02,1
2005-10-03,-0.0273972602739726,0.06521739130434782,0.009657645319676878,-0.0030163141787543945,-0.0009664365924068976,0.001110916943355701,12.54,0
2005-10-04,-0.02097902097902098,0.043478260869565216,0.01072831407542747,0.010403472008372694,-8.095905340190511e-05,0.000678924682960808,12.25,0
2005-10-05,-0.0070921985815602835,0.043478260869565216,0.009348252480623938,-0.005226051242329401,-0.0004195471395652194,0.0015160152603850635,12.2,0
2005-10-06,-0.021897810218978103,0.045454545454545456,0.020226774723318762,-0.014389977261356358,-0.0014483363189388857,0.0018639388271815948,11.75,1
2005-10-07,0.0,0.03759398496240601,0.00837964398032477,-0.0038827025338027434,0.004602658598603021,0.004602658598603021,11.95,1
2005-10-11,0.050724637681159424,0.058394160583941604,0.02377842661665108,0.02081122090917352,0.0005090960644940704,0.0016885251184222542,12.74,1
2005-10-12,-0.0136986301369863,0.04929577464788732,0.01785162264145918,-0.007528443226949082,-0.0002088036853850055,0.0016533138159528268,12.71,0
2005-10-13,0.04964539007092199,0.05673758865248227,0.015744342391102045,0.004572797556669539,-0.002311819835676885,0.0028701393597483542,12.9,1
2005-10-14,-0.02702702702702703,0.04929577464788732,0.016416779622170256,-0.011838339004942121,0.0035189698541583086,0.004222928940096983,12.7,1
2005-10-17,-0.03496503496503497,0.036231884057971016,0.012666376806641757,-0.006368716047616156,0.00047941433708011344,0.001412768053296392,12.25,1
2005-10-18,0.007246376811594203,0.0364963503649635,0.008993455806852443,-0.0017905094971049822,-0.00018728163929553922,0.0012466250694362646,12.17,0
2005-10-19,-0.0070921985815602835,0.02158273381294964,0.017709199300771056,-0.012645854873264764,-0.001042589793046015,0.002626386692974226,12.04,1
2005-10-20,0.0070921985815602835,0.02142857142857143,0.006714570060325526,-0.0023786423163469753,0.0018719532842238827,0.0021595512222548027,12.33,0
