Date,UMC_TAIEX_CO,UMC_TAIEX_HL,TAIEX_HL,TAIEX_CO,NQP_CO,NQP_HL,UMC_ADR_Open,target
2004-01-02,0.030927915682484798,0.03780077091530978,0.023048323685488818,0.022753808389811243,0.0034050667393080904,0.0035007423753286885,6.443702,1
2004-01-05,0.009900961052908015,0.023411413084705495,0.012545702922660955,0.007440527203218887,0.0053149445337839375,0.006014155767998102,6.672473,1
2004-01-06,-0.006451615139421272,0.016339875018646338,0.009709227529598904,-0.004215586645697757,-0.0033456429845005182,0.0034573790922368805,6.672473,1
2004-01-07,0.0,0.025890072294753777,0.013881767866367696,-0.005457565475959332,-0.0016051898919661122,0.0022815666757840867,6.748729,1
2004-01-08,-0.00952378176259416,0.012861740778081067,0.007710519646861474,-0.001810564635077405,0.005248859230343178,0.005248859230343178,6.901243,0
2004-01-09,-0.006289249059742739,0.022292968069984924,0.008086775672934771,-0.002303966333562396,-0.009126986721411176,0.009448590299359426,6.952081,0
2004-01-12,-0.0031645888519796555,0.012820516834364139,0.008103072542959739,-0.0008867172807647024,0.0034851912252090813,0.0034851912252090813,6.799567,0
2004-01-13,-0.01273894999935928,0.02272728065593231,0.009732618852391444,-0.004638435346489547,-0.0009859693960290142,0.0014933998220907482,6.72331,0
2004-01-14,0.016286714805519395,0.022801438909260535,0.017506298558947902,0.012894142459832935,0.004828192445453168,0.004828192445453168,6.608925,1
2004-01-15,-0.009615450241851415,0.01623383532637107,0.008524644340276022,-0.005274990563516872,-0.003259119645030836,0.003269776236999697,6.608925,0
2004-01-16,0.0,0.012945083565381248,0.007570181816329723,-0.004927946176832631,0.006005067182503258,0.006005067182503258,6.634344,1
2004-01-27,0.0063492705347114415,0.012738732238998346,0.010260749603918016,0.002060720866357939,-0.0035083879440203198,0.0035401202865688727,6.913953,0
2004-01-28,-0.0031546058215641245,0.015974351757306094,0.013560036787891557,0.004015281180339365,0.0036410957463588805,0.0038654202658461733,6.96479,0
2004-01-29,0.0063492705347114415,0.025559112610149898,0.012031939990773868,-0.005714391715496437,0.0041918894305458775,0.005329597028833333,6.926662,0
2004-01-30,0.006369366119499173,0.009584636020793718,0.008999594212506208,0.006897018699369329,-9.358226215072094e-05,0.0012437311935806752,6.812277,1
2004-02-02,-0.015873021287437377,0.019354876928291714,0.010919413164934244,-0.009407556009290252,0.002254542535256575,0.004903797265112746,6.786858,1
2004-02-03,-0.009803893089264335,0.016611268619604703,0.011461461250457161,-0.004664437804619858,0.00014793297291483583,0.0007800102208234853,6.73602,0
2004-02-04,-0.016501687722796667,0.02364872401435486,0.010272902301925929,-0.004807416011459846,-0.005680899239851248,0.009575384949476528,6.73602,0
2004-02-05,0.0033783797162311876,0.02027031129775534,0.013109760942556347,0.004200665072229723,0.0035930925187168633,0.003647939665537317,6.545378,1
2004-02-06,0.02006689749895244,0.023411413084705495,0.010967795672173607,0.005094040878513528,0.0036806805169311927,0.004255667403224493,6.73602,1
2004-02-09,0.0,0.01941751470606181,0.008214679529363672,0.003143023959979099,0.0006194548797059013,0.0010528630545022738,6.926662,1
2004-02-10,-0.009615450241851415,0.019544076857389965,0.012127086609595624,-0.00020186882494174126,-0.0006908208024252322,0.001798862957518686,6.939371,0
2004-02-11,-0.012903230278842544,0.023026323928154933,0.012089553803000367,-0.009783438497027258,0.0016827035436935223,0.001990475109041827,6.939371,0
2004-02-12,0.0,0.02295089254574146,0.028368038032278102,-0.01054173791627631,-0.002931796121313005,0.0031920741196961146,6.913953,0
2004-02-13,0.0,0.01315789938751712,0.014806869950404885,0.012684146067904108,0.0014179675798022045,0.0016444959320363968,6.812277,0
2004-02-17,0.0033222277621711618,0.013333338108853158,0.006055123262018097,0.002122523605642745,0.008066957767894995,0.008066957767894995,6.73602,1
2004-02-18,0.003267943081805708,0.013114759138610387,0.011293848908145622,-0.007549465792303654,0.0006096429612744671,0.004504175815428271,6.926662,0
2004-02-19,-0.0032258390797382536,0.016339875018646338,0.009306602157571162,0.005063307243785722,0.005845323741007291,0.006371028031200247,6.96479,0
2004-02-20,-0.00323621557034028,0.013029352753648936,0.007809421720844491,-0.003958402286160669,0.00317791617572801,0.0035698168616594625,6.73602,0
2004-02-23,-0.012987017517675623,0.016501623246834126,0.013332152906229662,-0.0031076433026298437,0.00042998038214497907,0.0014922162772564914,6.73602,0
2004-02-24,0.0,0.013333338108853158,0.01481510256832769,-0.00916221182207568,-0.003118780392720073,0.003142259270694079,6.558087,0
2004-02-25,0.0033333670875756237,0.013377997004490104,0.0116750864666077,0.0037146519276831016,0.0034950686018358533,0.0034950686018358533,6.558087,1
2004-02-26,0.006644520428716713,0.013288975953059036,0.010575741952352788,-0.002411557401383686,-0.003327436037016789,0.0036321183032818347,6.48183,1
2004-02-27,0.0,0.006600597717963574,0.006418224979872653,0.0026602020772334835,0.0025469078100656987,0.0025469078100656987,6.608925,1
2004-03-01,0.019607881944299143,0.02287588886995206,0.01167262355812148,0.010509365344998769,0.0038134410176439123,0.00401171502520084,6.926662,1
2004-03-02,0.040625073451594544,0.040625073451594544,0.012620813576361347,0.0015219134548681073,-0.000738691307617861,0.0009878899477157748,7.307946,0
2004-03-03,-0.008849217103184578,0.02678545964833941,0.010659453520891255,-0.007071522432616731,-0.0025658430627205895,0.0025724435491554305,7.244399,1
2004-03-04,0.005900111987503596,0.020833338784286223,0.011810644662924117,0.01017776494580175,-8.182469060031425e-05,0.001214353936416955,7.333365,1
2004-03-05,-0.01734113347961236,0.03529416665661136,0.02758415879515654,-0.02288527824563931,-0.011197179769437998,0.011993306696718194,7.307946,1
2004-03-08,-0.031883876026883126,0.036035751156024795,0.017913532076927013,-0.013744619466484398,0.002511897568890519,0.002511897568890519,7.358784,0
2004-03-09,0.006005948748118763,0.015151549685231568,0.01598642383071831,0.010437771909307808,-0.0005616730923917188,0.0036078289889059575,7.20627,1
2004-03-10,-0.02395198653053914,0.024539762593644748,0.01753765813139743,-0.013240688879608411,0.0008348000306093661,0.0015165533889403351,7.180851,0
